CITY,DISTRICT,GEOCODE,DAYTIME,T,TD,RH,WD,WS,BF,AT,Wx,Wx_n,PoP6h,PoP12h,get_day
高雄市,大樹區,6401500,2019-05-13 00:00:00,26,25,97,西北風,2,<= 1,30,晴,01,0,10,2019-05-12
高雄市,大樹區,6401500,2019-05-13 03:00:00,25,24,99,偏北風,1,<= 1,28,晴,01,0,10,2019-05-12
高雄市,大樹區,6401500,2019-05-13 06:00:00,24,23,95,西北風,1,<= 1,27,晴,01,10,10,2019-05-12
高雄市,大樹區,6401500,2019-05-13 09:00:00,28,26,88,西南風,1,<= 1,32,多雲,04,10,10,2019-05-12
高雄市,大樹區,6401500,2019-05-13 12:00:00,31,29,87,西南風,2,2,37,多雲,04,10,10,2019-05-12
高雄市,大樹區,6401500,2019-05-13 15:00:00,31,28,82,西南風,2,<= 1,36,晴,01,10,10,2019-05-12
高雄市,大樹區,6401500,2019-05-13 18:00:00,29,27,88,西南風,2,<= 1,33,多雲,04,0,10,2019-05-12
高雄市,大樹區,6401500,2019-05-13 21:00:00,27,26,94,偏南風,1,<= 1,31,多雲,04,0,10,2019-05-12
高雄市,大社區,6401600,2019-05-13 00:00:00,26,26,96,東北風,1,<= 1,31,晴,01,0,0,2019-05-12
高雄市,大社區,6401600,2019-05-13 03:00:00,26,25,96,偏北風,1,<= 1,30,晴,01,0,0,2019-05-12
